,channel_id,prop,sku_id,NextWeek_predict,distribution_sale,var
23,FJ02SH02,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
24,FJ02SH04,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
25,FJ03SH01,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
26,FJ03SH02,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
27,GS01SH01,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
28,GS01SH05,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
29,GS01SH06,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
30,GS01SH07,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
31,GS01SH08,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
32,GS01SH09,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
33,GS01SH10,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
34,GS01SH13,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
35,GS01SH15,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
36,GS01SH17,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
37,GS01SH21,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
38,GX01SH03,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
39,GX01SH04,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
40,GZ01SH02,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
41,GZ01SH05,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
42,HB01SH01,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
43,HB01SH02,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
44,HB01SH04,0.0,1138070272B01#2B01#32#31,3.0,0.0,24.685443878173828
